Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
58,2.0,0.0,0.0,1125.0,18.0,106.0,3067.0,0.1,81.106,0.0,0.0,622.8547022342682,,,,,,,,,,,,,,,,,,,,,33.43780872903789,24.28376674004529,77.7169484546829,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1191.0,19.0,66.0,3133.0,0.1,33.507000000000005,0.0,0.0,629.449266910553,,,,,,,,,,,,,,,,,,,,,13.13350599305422,9.746098735847346,32.70556703295732,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1219.0,20.0,28.0,3161.0,0.1,13.704999999999995,0.0,0.0,632.5251488685608,,,,,,,,,,,,,,,,,,,,,4.268333849971895,4.728448305319322,13.612698436375105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,90.0,1.0,90.0,3251.0,0.1,52.50700000000001,0.0,0.0,845.6279225349426,,,,,,,,,,,,,,,,,,,,,19.100770881151156,15.576763953834407,50.88965904913563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,124.0,2.0,34.0,3285.0,0.1,15.405999999999993,0.0,0.0,849.0280249118805,,,,,,,,,,,,,,,,,,,,,4.524305569039487,5.11451646800808,15.282723775479845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,213.0,3.0,89.0,3374.0,0.1,71.20599999999999,0.0,0.0,857.5595617294312,,,,,,,,,,,,,,,,,,,,,29.154791633286255,22.648263343075403,68.74865210018581,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,301.0,4.0,88.0,3462.0,0.1,55.208000000000006,0.0,0.0,866.364538192749,,,,,,,,,,,,,,,,,,,,,19.26734205315104,17.544625570585985,53.619659598860814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,381.0,5.0,80.0,3542.0,0.1,45.30700000000001,0.0,0.0,874.3041906356812,,,,,,,,,,,,,,,,,,,,,14.532012465875194,14.360310137365511,44.23286049085121,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,427.0,6.0,46.0,3588.0,0.1,19.108000000000025,0.0,0.0,878.8981256484985,,,,,,,,,,,,,,,,,,,,,5.550332281629594,5.991885713197173,18.89044671803439,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,569.0,7.0,142.0,3730.0,0.1,115.506,0.0,0.0,892.7273199558258,,,,,,,,,,,,,,,,,,,,,50.89753882857322,34.20780456437177,108.49543185462001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
